Gene	GeneID	TreatedMean	UntreatedMean	FoldChange	pValue
MCHR2	5427	61.632590692885	81.306744990139	0.758025557416668	0.491862820610657
RAD54B	4350	72.2504712379398	86.8940406457396	0.831477863165548	0.626684363510582
PPP1R3C	4796	27.8313482026176	56.4390238580078	0.493122423106345	0.08448302641221
CPA6	23632	38.9664067720369	64.6239587633979	0.602971521981518	0.041131316829463
Control	7042	59.3850368440311	96.412679451134	0.615946337993126	0.214474569426548
MERTK	27339	68.9598905526717	74.953597351502	0.920034434495221	0.816042319516324
WWOX	7014	50.9572142582685	102.23975452281	0.49840900436532	0.08744090338707
MAP3K7	3008	67.1160526091742	111.749257717533	0.600595064164295	0.131779682254906
SMARCA2	80331	182.761967990357	122.808219168497	1.48819003506274	0.219264603253471
GNB3	9156	201.031405637319	161.380767427745	1.24569618078763	0.410798793214856
IL5	7832	111.574014781828	128.915338303115	0.865482852936296	0.511768646136149
FMO1	5423	89.8072653793057	96.9835736294328	0.926004910093876	0.721197175596106
CHRNG	121642	53.9069311631531	78.2530783959345	0.688879367664005	0.106376267488879
KCNK1	56949	28.9788823413458	31.0473388479206	0.933377333345484	0.786539322058807
GABRQ	7341	71.6331325640683	95.21460534152	0.752333450389584	0.35902436306699
NR4A3	4670	89.4962894704629	56.1034614198725	1.59520085223765	0.115723992289569
FXYD6	5976	51.4794833261477	58.7036725736009	0.876938035888713	0.654644934395861
HBEGF	9700	60.560677036704	38.678299249251	1.5657533607266	0.371124081128583
COP1	6241	10.4416586029239	21.7477587244086	0.480125733195884	0.240512885813145
SLC5A12	25913	62.1650790456774	72.2714077616624	0.860161452101309	0.588669049227558
HS6ST3	5111	98.3625981960782	102.517634496287	0.959470033417913	0.838740047930272
LOC91461	136647	109.597820143138	134.802524956076	0.813024979901893	0.190900119588843
MSH4	4000	52.9949736893551	131.37378854251	0.403390769782109	0.015060860049228
EPHA10	9025	79.2042047049035	83.1312622578914	0.952760761158596	0.829152018225406
SPATA5L1	1719	72.9457430720883	53.2327815941169	1.37031620155183	0.304147225832469
INPP1	10039	93.9978046876557	98.1691437268293	0.957508654136976	0.826994371158794
PRMT8	8913	126.187731559051	85.3375120081354	1.47869006946232	0.221271220361897
ALKBH2	5892	114.000938990419	105.213716058928	1.08351784596763	0.655096999152771
PTPRE	2237	148.729226268825	110.707155389693	1.3434472753391	0.366148616302371
FRAP1	4913	56.4227808746959	56.0756032380689	1.0061912421192	0.977360623951989
LOC93432	2073	117.588688024615	132.082400831479	0.890267645684637	0.737767779224923
VDAC3	64858	140.230853155126	121.56253454759	1.15356967240781	0.482035229811975
XCR1	672	89.312575186053	71.0785575049626	1.25653331076418	0.25023626569331
FANCI	9521	157.573018019935	146.363328487691	1.07658810200662	0.4189787659515
CYP2J2	91582	135.319761482204	142.634013695858	0.948720140279791	0.743933219780469
DCAMKL1	4439	57.1410448549175	53.6563079865076	1.06494552083767	0.821248209022568
SMOX	26277	83.3778708540708	48.4559760081283	1.72069325030383	0.023647876219356
CLDN4	2175	130.385138748586	106.080923006981	1.22911014584597	0.55535289778396
